ecoregion_en;ecoregion_pt;color_olson;color_cassio
Boreal Forests/Taiga;Florestas Boreais/Taiga;#3CB371;#2B3E52
Deserts & Xeric Shrublands;Desertos e Arbustais Xéricos;#F08080;#F9EBAE
Flooded Grasslands & Savannas;Pastagens e Savanas Alagadas;#7FFFD4;#EDC978
Lakes;Lagos;#C2FBFE;#A9DCD3
Mangroves;Manguezais;#9F21A3;#355C7D
Mediterranean Forests, Woodlands & Scrub;Florestas, Bosques e Arbustais Mediterrânicos;#FF0000;#C19A44
Montane Grasslands & Shrublands;Pastagens e Arbustais Montanos;#D2B48C;#B2C7B9
Rock and Ice;Rocha e Gelo;#FFFFFF;#E6E6FA
Temperate Broadleaf & Mixed Forests;Florestas Temperadas De Folhas Largas e Mistas;#64FF8A;#61907C
Temperate Conifer Forests;Florestas Temperadas De Coníferas;#00C80F;#8C524B
Temperate Grasslands, Savannas & Shrublands;Pastagens, Savanas e Arbustais Temperados;#FFD700;#D9E2BD
Tropical & Subtropical Coniferous Forests;Florestas Tropicais e Subtropicais de Coníferas;#ADFF2F;#A16D4D
Tropical & Subtropical Dry Broadleaf Forests;Florestas Tropicais e Subtropicais Secas de Folhas Largas;#B2E519;#C6A078
Tropical & Subtropical Moist Broadleaf Forests;Florestas Tropicais e Subtropicais Úmidas de Folhas Largas;#00FF00;#008D3D
Tropical & Subtropical Grasslands, Savannas & Shrublands;Pastagens, Savanas e Arbustais Tropicais e Subtropicais;#F0EA96;#E1D7B1
Tundra;Tundra;#4BE1AA;#EBF3F8
